
15:39:22 | Pipe | clients  4 | logs      119,229 | watches      1,192 | flows        596 | payload    115.9 MiB
15:39:23 | Pipe | clients  4 | logs      119,971 | watches      1,199 | flows        599 | payload    116.6 MiB
15:39:24 | Pipe | clients  4 | logs      120,726 | watches      1,207 | flows        603 | payload    117.3 MiB
15:39:25 | Pipe | clients  4 | logs      121,476 | watches      1,214 | flows        607 | payload    118.0 MiB
15:39:26 | Pipe | clients  4 | logs      122,220 | watches      1,222 | flows        611 | payload    118.8 MiB
15:39:27 | Pipe | clients  4 | logs      122,969 | watches      1,229 | flows        614 | payload    119.5 MiB
15:39:28 | Pipe | clients  4 | logs      123,721 | watches      1,237 | flows        618 | payload    120.2 MiB
15:39:29 | Pipe | clients  4 | logs      124,476 | watches      1,244 | flows        622 | payload    121.0 MiB
15:39:30 | Pipe | clients  4 | logs      125,220 | watches      1,252 | flows        626 | payload    121.7 MiB
15:39:31 | Pipe | clients  4 | logs      125,976 | watches      1,259 | flows        629 | payload    122.4 MiB
15:39:32 | Pipe | clients  4 | logs      126,722 | watches      1,267 | flows        633 | payload    123.1 MiB
15:39:33 | Pipe | clients  4 | logs      127,470 | watches      1,274 | flows        637 | payload    123.9 MiB
15:39:34 | Pipe | clients  4 | logs      128,226 | watches      1,282 | flows        641 | payload    124.6 MiB
15:39:35 | Pipe | clients  4 | logs      128,976 | watches      1,289 | flows        644 | payload    125.3 MiB
15:39:36 | Pipe | clients  4 | logs      129,727 | watches      1,297 | flows        648 | payload    126.1 MiB
15:39:37 | Pipe | clients  4 | logs      130,475 | watches      1,304 | flows        652 | payload    126.8 MiB
15:39:38 | Pipe | clients  4 | logs      131,220 | watches      1,312 | flows        656 | payload    127.5 MiB
15:39:39 | Pipe | clients  4 | logs      131,977 | watches      1,319 | flows        659 | payload    128.3 MiB
15:39:40 | Pipe | clients  4 | logs      132,723 | watches      1,327 | flows        663 | payload    129.0 MiB
15:39:41 | Pipe | clients  4 | logs      133,478 | watches      1,334 | flows        667 | payload    129.7 MiB
15:39:42 | Pipe | clients  4 | logs      134,230 | watches      1,342 | flows        671 | payload    130.4 MiB
15:39:43 | Pipe | clients  4 | logs      134,984 | watches      1,349 | flows        674 | payload    131.2 MiB
15:39:44 | Pipe | clients  4 | logs      135,729 | watches      1,357 | flows        678 | payload    131.9 MiB
15:39:45 | Pipe | clients  4 | logs      136,472 | watches      1,364 | flows        682 | payload    132.6 MiB
15:39:46 | Pipe | clients  4 | logs      137,223 | watches      1,372 | flows        686 | payload    133.4 MiB
15:39:47 | Pipe | clients  4 | logs      137,971 | watches      1,379 | flows        689 | payload    134.1 MiB
15:39:48 | Pipe | clients  4 | logs      138,723 | watches      1,387 | flows        693 | payload    134.8 MiB
15:39:49 | Pipe | clients  4 | logs      139,475 | watches      1,394 | flows        697 | payload    135.5 MiB
15:39:50 | Pipe | clients  4 | logs      140,227 | watches      1,402 | flows        701 | payload    136.3 MiB
15:39:51 | Pipe | clients  4 | logs      140,980 | watches      1,409 | flows        704 | payload    137.0 MiB
15:39:52 | Pipe | clients  4 | logs      141,731 | watches      1,417 | flows        708 | payload    137.7 MiB
15:39:53 | Pipe | clients  4 | logs      142,486 | watches      1,424 | flows        712 | payload    138.5 MiB
15:39:54 | Pipe | clients  4 | logs      143,230 | watches      1,432 | flows        716 | payload    139.2 MiB
15:39:55 | Pipe | clients  4 | logs      143,974 | watches      1,439 | flows        719 | payload    139.9 MiB
15:39:56 | Pipe | clients  4 | logs      144,727 | watches      1,447 | flows        723 | payload    140.6 MiB
15:39:57 | Pipe | clients  4 | logs      145,479 | watches      1,454 | flows        727 | payload    141.4 MiB
15:39:58 | Pipe | clients  4 | logs      146,222 | watches      1,462 | flows        731 | payload    142.1 MiB
15:39:59 | Pipe | clients  4 | logs      146,978 | watches      1,469 | flows        734 | payload    142.8 MiB
15:40:00 | Pipe | clients  4 | logs      147,729 | watches      1,477 | flows        738 | payload    143.6 MiB
15:40:01 | Pipe | clients  4 | logs      148,487 | watches      1,484 | flows        742 | payload    144.3 MiB
15:40:02 | Pipe | clients  4 | logs      149,224 | watches      1,492 | flows        746 | payload    145.0 MiB
15:40:03 | Pipe | clients  4 | logs      149,968 | watches      1,499 | flows        749 | payload    145.7 MiB
15:40:04 | Pipe | clients  4 | logs      150,719 | watches      1,507 | flows        753 | payload    146.5 MiB
15:40:05 | Pipe | clients  4 | logs      151,470 | watches      1,514 | flows        757 | payload    147.2 MiB
15:40:06 | Pipe | clients  4 | logs      152,222 | watches      1,522 | flows        761 | payload    147.9 MiB
15:40:07 | Pipe | clients  4 | logs      152,978 | watches      1,529 | flows        764 | payload    148.7 MiB
15:40:08 | Pipe | clients  4 | logs      153,720 | watches      1,537 | flows        768 | payload    149.4 MiB
15:40:09 | Pipe | clients  4 | logs      154,473 | watches      1,544 | flows        772 | payload    150.1 MiB
15:40:10 | Pipe | clients  4 | logs      155,220 | watches      1,552 | flows        776 | payload    150.8 MiB
15:40:11 | Pipe | clients  4 | logs      155,979 | watches      1,559 | flows        779 | payload    151.6 MiB
15:40:12 | Pipe | clients  4 | logs      156,725 | watches      1,567 | flows        783 | payload    152.3 MiB
15:40:13 | Pipe | clients  4 | logs      157,476 | watches      1,574 | flows        787 | payload    153.0 MiB
15:40:14 | Pipe | clients  4 | logs      158,229 | watches      1,582 | flows        791 | payload    153.8 MiB
15:40:15 | Pipe | clients  4 | logs      158,973 | watches      1,589 | flows        794 | payload    154.5 MiB
15:40:16 | Pipe | clients  4 | logs      159,725 | watches      1,597 | flows        798 | payload    155.2 MiB
15:40:17 | Pipe | clients  4 | logs      160,477 | watches      1,604 | flows        802 | payload    156.0 MiB
15:40:18 | Pipe | clients  4 | logs      161,227 | watches      1,612 | flows        806 | payload    156.7 MiB
15:40:19 | Pipe | clients  4 | logs      161,975 | watches      1,619 | flows        809 | payload    157.4 MiB
15:40:20 | Pipe | clients  4 | logs      162,723 | watches      1,627 | flows        813 | payload    158.1 MiB
