
13:38:33 | Tcp  | clients  8 | logs    1,039,293 | watches     10,390 | flows      5,192 | payload   1010.0 MiB
13:38:34 | Tcp  | clients  8 | logs    1,044,571 | watches     10,441 | flows      5,217 | payload   1015.1 MiB
13:38:35 | Tcp  | clients  8 | logs    1,052,923 | watches     10,527 | flows      5,263 | payload   1023.2 MiB
13:38:36 | Tcp  | clients  8 | logs    1,061,243 | watches     10,608 | flows      5,304 | payload   1031.3 MiB
13:38:37 | Tcp  | clients  8 | logs    1,072,961 | watches     10,727 | flows      5,360 | payload   1042.7 MiB
13:38:38 | Tcp  | clients  8 | logs    1,080,831 | watches     10,804 | flows      5,400 | payload   1050.3 MiB
13:38:39 | Tcp  | clients  8 | logs    1,089,054 | watches     10,888 | flows      5,440 | payload   1058.3 MiB
13:38:40 | Tcp  | clients  8 | logs    1,096,828 | watches     10,963 | flows      5,480 | payload   1065.9 MiB
13:38:41 | Tcp  | clients  8 | logs    1,104,934 | watches     11,047 | flows      5,520 | payload   1073.8 MiB
13:38:42 | Tcp  | clients  8 | logs    1,112,860 | watches     11,125 | flows      5,560 | payload   1081.5 MiB
13:38:43 | Tcp  | clients  8 | logs    1,121,116 | watches     11,208 | flows      5,600 | payload   1089.5 MiB
13:38:44 | Tcp  | clients  8 | logs    1,128,449 | watches     11,280 | flows      5,640 | payload   1096.6 MiB
13:38:45 | Tcp  | clients  8 | logs    1,137,048 | watches     11,368 | flows      5,680 | payload   1105.0 MiB
13:38:46 | Tcp  | clients  8 | logs    1,144,735 | watches     11,442 | flows      5,720 | payload   1112.4 MiB
13:38:47 | Tcp  | clients  8 | logs    1,153,044 | watches     11,528 | flows      5,760 | payload   1120.5 MiB
13:38:48 | Tcp  | clients  8 | logs    1,159,843 | watches     11,593 | flows      5,793 | payload   1127.1 MiB
13:38:49 | Tcp  | clients  8 | logs    1,164,474 | watches     11,640 | flows      5,816 | payload   1131.6 MiB
13:38:50 | Tcp  | clients  8 | logs    1,170,419 | watches     11,700 | flows      5,848 | payload   1137.4 MiB
13:38:51 | Tcp  | clients  8 | logs    1,173,142 | watches     11,728 | flows      5,864 | payload   1140.1 MiB
13:38:52 | Tcp  | clients  8 | logs    1,179,880 | watches     11,794 | flows      5,896 | payload   1146.6 MiB
13:38:53 | Tcp  | clients  8 | logs    1,185,330 | watches     11,848 | flows      5,920 | payload   1151.9 MiB
13:38:54 | Tcp  | clients  8 | logs    1,187,953 | watches     11,875 | flows      5,936 | payload   1154.4 MiB
13:38:55 | Tcp  | clients  8 | logs    1,188,024 | watches     11,877 | flows      5,936 | payload   1154.5 MiB
13:38:56 | Tcp  | clients  8 | logs    1,191,679 | watches     11,912 | flows      5,952 | payload   1158.1 MiB
13:38:57 | Tcp  | clients  8 | logs    1,194,616 | watches     11,943 | flows      5,968 | payload   1160.9 MiB
13:38:58 | Tcp  | clients  8 | logs    1,199,767 | watches     11,992 | flows      5,992 | payload   1165.9 MiB
13:38:59 | Tcp  | clients  8 | logs    1,204,341 | watches     12,040 | flows      6,016 | payload   1170.4 MiB
13:39:00 | Tcp  | clients  8 | logs    1,209,170 | watches     12,088 | flows      6,040 | payload   1175.1 MiB
13:39:01 | Tcp  | clients  8 | logs    1,216,088 | watches     12,158 | flows      6,078 | payload   1181.8 MiB
13:39:02 | Tcp  | clients  8 | logs    1,224,426 | watches     12,240 | flows      6,120 | payload   1189.9 MiB
13:39:03 | Tcp  | clients  8 | logs    1,236,373 | watches     12,360 | flows      6,176 | payload   1201.5 MiB
13:39:04 | Tcp  | clients  8 | logs    1,246,569 | watches     12,463 | flows      6,231 | payload   1211.4 MiB
13:39:05 | Tcp  | clients  8 | logs    1,254,892 | watches     12,544 | flows      6,272 | payload   1219.5 MiB
13:39:06 | Tcp  | clients  8 | logs    1,262,498 | watches     12,622 | flows      6,310 | payload   1226.9 MiB
13:39:07 | Tcp  | clients  8 | logs    1,270,325 | watches     12,698 | flows      6,346 | payload   1234.5 MiB
13:39:08 | Tcp  | clients  8 | logs    1,278,817 | watches     12,784 | flows      6,392 | payload   1242.7 MiB
13:39:09 | Tcp  | clients  8 | logs    1,286,873 | watches     12,864 | flows      6,432 | payload   1250.6 MiB
13:39:10 | Tcp  | clients  8 | logs    1,294,774 | watches     12,944 | flows      6,472 | payload   1258.3 MiB
13:39:11 | Tcp  | clients  8 | logs    1,302,409 | watches     13,021 | flows      6,508 | payload   1265.7 MiB
13:39:12 | Tcp  | clients  8 | logs    1,310,167 | watches     13,096 | flows      6,544 | payload   1273.2 MiB
13:39:13 | Tcp  | clients  8 | logs    1,318,718 | watches     13,184 | flows      6,592 | payload   1281.5 MiB
13:39:14 | Tcp  | clients  8 | logs    1,326,580 | watches     13,263 | flows      6,631 | payload   1289.2 MiB
13:39:15 | Tcp  | clients  8 | logs    1,334,812 | watches     13,344 | flows      6,672 | payload   1297.2 MiB
13:39:16 | Tcp  | clients  8 | logs    1,342,347 | watches     13,419 | flows      6,706 | payload   1304.5 MiB
13:39:17 | Tcp  | clients  8 | logs    1,350,784 | watches     13,504 | flows      6,752 | payload   1312.7 MiB
13:39:18 | Tcp  | clients  8 | logs    1,358,806 | watches     13,584 | flows      6,792 | payload   1320.5 MiB
13:39:19 | Tcp  | clients  8 | logs    1,366,825 | watches     13,664 | flows      6,832 | payload   1328.3 MiB
13:39:20 | Tcp  | clients  8 | logs    1,374,888 | watches     13,744 | flows      6,872 | payload   1336.1 MiB
13:39:21 | Tcp  | clients  8 | logs    1,382,890 | watches     13,824 | flows      6,912 | payload   1343.9 MiB
13:39:22 | Tcp  | clients  8 | logs    1,390,694 | watches     13,904 | flows      6,952 | payload   1351.5 MiB
13:39:23 | Tcp  | clients  8 | logs    1,398,842 | watches     13,984 | flows      6,992 | payload   1359.4 MiB
13:39:24 | Tcp  | clients  8 | logs    1,406,760 | watches     14,064 | flows      7,032 | payload   1367.1 MiB
13:39:25 | Tcp  | clients  8 | logs    1,414,777 | watches     14,144 | flows      7,072 | payload   1374.9 MiB
13:39:26 | Tcp  | clients  8 | logs    1,422,692 | watches     14,224 | flows      7,112 | payload   1382.6 MiB
13:39:27 | Tcp  | clients  8 | logs    1,430,874 | watches     14,304 | flows      7,152 | payload   1390.5 MiB
